model,N,prompt_id,gamma,arm,step_locus,baseline_outcome,outcome,p_correct,delta_p,needle_rank,needle_mass,prompt_hash
meta-llama/Llama-3.2-1B,65536,26,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.01062,0.0,1103.3,0.0034,f0f765ec4835
meta-llama/Llama-3.2-1B,65536,26,4,needle,all,WRONG_NEEDLE,CORRECT,0.17707,0.16646,1103.3,0.0034,f0f765ec4835
meta-llama/Llama-3.2-1B,65536,26,16,needle,all,WRONG_NEEDLE,CORRECT,0.84999,0.83938,1103.3,0.0034,f0f765ec4835
meta-llama/Llama-3.2-1B,65536,26,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00014,-0.01047,1103.3,0.0034,f0f765ec4835
meta-llama/Llama-3.2-1B,65536,27,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.03753,0.0,466.8,0.0088,2ba972c2dddf
meta-llama/Llama-3.2-1B,65536,27,4,needle,all,WRONG_NEEDLE,CORRECT,0.84668,0.80914,466.8,0.0088,2ba972c2dddf
meta-llama/Llama-3.2-1B,65536,27,16,needle,all,WRONG_NEEDLE,CORRECT,0.96096,0.92343,466.8,0.0088,2ba972c2dddf
meta-llama/Llama-3.2-1B,65536,27,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00034,-0.03720,466.8,0.0088,2ba972c2dddf
meta-llama/Llama-3.2-1B,65536,28,1,baseline,all,CORRECT,CORRECT,0.17610,0.0,1097.5,0.0239,6261f73a6d49
meta-llama/Llama-3.2-1B,65536,29,1,baseline,all,CORRECT,CORRECT,0.11002,0.0,674.8,0.0183,614f4432d604
meta-llama/Llama-3.2-1B,65536,30,1,baseline,all,CORRECT,CORRECT,0.02216,0.0,661.1,0.0126,385acbed464c
meta-llama/Llama-3.2-1B,65536,31,1,baseline,all,CORRECT,CORRECT,0.05438,0.0,1364.9,0.0285,edeab58f6015
meta-llama/Llama-3.2-1B,65536,32,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00752,0.0,854.5,0.0077,69d140d3c0fa
meta-llama/Llama-3.2-1B,65536,32,4,needle,all,WRONG_NEEDLE,CORRECT,0.45345,0.44593,854.5,0.0077,69d140d3c0fa
meta-llama/Llama-3.2-1B,65536,32,16,needle,all,WRONG_NEEDLE,CORRECT,0.89436,0.88684,854.5,0.0077,69d140d3c0fa
meta-llama/Llama-3.2-1B,65536,32,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00025,-0.00727,854.5,0.0077,69d140d3c0fa
meta-llama/Llama-3.2-1B,65536,33,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.03232,0.0,142.5,0.0193,8731d07e4cb2
meta-llama/Llama-3.2-1B,65536,33,4,needle,all,WRONG_NEEDLE,CORRECT,0.35443,0.32210,142.5,0.0193,8731d07e4cb2
meta-llama/Llama-3.2-1B,65536,33,16,needle,all,WRONG_NEEDLE,CORRECT,0.77726,0.74493,142.5,0.0193,8731d07e4cb2
meta-llama/Llama-3.2-1B,65536,33,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00025,-0.03207,142.5,0.0193,8731d07e4cb2
meta-llama/Llama-3.2-1B,65536,34,1,baseline,all,CORRECT,CORRECT,0.26520,0.0,2240.7,0.0220,5f75a6b4202a
meta-llama/Llama-3.2-1B,65536,35,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00986,0.0,1032.9,0.0122,77ab582700ef
meta-llama/Llama-3.2-1B,65536,35,4,needle,all,WRONG_NEEDLE,CORRECT,0.19039,0.18053,1032.9,0.0122,77ab582700ef
meta-llama/Llama-3.2-1B,65536,35,16,needle,all,WRONG_NEEDLE,CORRECT,0.54606,0.53620,1032.9,0.0122,77ab582700ef
meta-llama/Llama-3.2-1B,65536,35,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00124,-0.00863,1032.9,0.0122,77ab582700ef
meta-llama/Llama-3.2-1B,65536,36,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00074,0.0,856.0,0.0050,d309c0a24b4e
meta-llama/Llama-3.2-1B,65536,36,4,needle,all,WRONG_NEEDLE,WRONG_NEEDLE,0.02690,0.02616,856.0,0.0050,d309c0a24b4e
meta-llama/Llama-3.2-1B,65536,36,16,needle,all,WRONG_NEEDLE,CORRECT,0.87427,0.87353,856.0,0.0050,d309c0a24b4e
meta-llama/Llama-3.2-1B,65536,36,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00018,-0.00056,856.0,0.0050,d309c0a24b4e
meta-llama/Llama-3.2-1B,65536,37,1,baseline,all,CORRECT,CORRECT,0.04747,0.0,418.4,0.0138,bde85a19ccf8
meta-llama/Llama-3.2-1B,65536,38,1,baseline,all,CORRECT,CORRECT,0.70956,0.0,276.5,0.0258,7e0230e36c33
meta-llama/Llama-3.2-1B,65536,39,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.02085,0.0,1786.2,0.0146,0b07b0a123da
meta-llama/Llama-3.2-1B,65536,39,4,needle,all,WRONG_NEEDLE,CORRECT,0.36962,0.34876,1786.2,0.0146,0b07b0a123da
meta-llama/Llama-3.2-1B,65536,39,16,needle,all,WRONG_NEEDLE,CORRECT,0.91105,0.89020,1786.2,0.0146,0b07b0a123da
meta-llama/Llama-3.2-1B,65536,39,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00260,-0.01825,1786.2,0.0146,0b07b0a123da
meta-llama/Llama-3.2-1B,65536,40,1,baseline,all,CORRECT,CORRECT,0.66005,0.0,1723.8,0.0300,a13782a825f7
